Title
Kaun Pravin Tambe?
Cobalt Blue
Dasvi
Hurdang
Jersey
Operation Romeo
Runway 34
Heropanti 2
Mere Desh Ki Dharti
Thar
Jayeshbhai Jordaar
Bhool Bhulaiyaa 2
Dhaakad
Anek
Samrat Prithviraj
Janhit Mein Jaari
Ardh
Nikamma
Forensic
Rashtra Kavach Om
HIT: The First Case
Jaadugar
Judaa Hoke Bhi
Shabaash Mithu
Shamshera
Ek Villain Returns
Good Luck Jerry
Darlings
Laal Singh Chaddha
Raksha Bandhan
Dobaaraa
Holy Cow
Cuttputlli
Jahaan Chaar Yaar
Matto Ki Saikil
Middle Class Love
Saroj Ka Rishta
Atithi Bhooto Bhava
Dhokha: Round D Corner
Plan A Plan B
Vikram Vedha
Maja Ma
Nazar Andaaz
Doctor G
Code Name: Tiranga
Ram Setu
Thank God
Phone Bhoot
Double XL
Tadka
Rocket Gang
Uunchai
"Monica, O My Darling"
Thai Massage
Mister Mummy
Bhediya
Qala
An Action Hero
Freddy
India Lockdown
Salaam Venky
Maarrich
Blurr
Govinda Naam Mera
Cirkus
Nail Polish
Ramprasad Ki Tehrvi
Tribhanga
Jamun
Madam Chief Minister
Machaan
Lahore Confidential
Tank Cleaner
Bombay Rose
Time to Dance
Ahaan
Mumbai Saga
Sandeep Aur Pinky Faraar
D Company
Pagglait
Saina
Silence... Can You Hear It?
Koi Jaane Na
The Big Bull
Hello Charlie
Ajeeb Daastaans
Raat Baaki Hai
Radhe
Sardar Ka Grandson
Shaadisthan
Sherni
Haseen Dillruba
Collar Bomb
State of Siege: Temple Attack
14 Phere
Hungama 2
Mimi
Dial 100
Shershaah
Bhuj: The Pride of India
Bell Bottom
Chehre
Helmet
Faactory
Bhoot Police
Kya Meri Sonam Gupta Bewafa Hai?
Ankahi Kahaniya
Shiddat
Rashmi Rocket
Sanak
Sardar Udham
Bhavai
Dybbuk
Hum Do Hamare Do
Meenakshi Sundareshwar
Sooryavanshi
Bunty Aur Babli 2
Dhamaka
Cash
Satyameva Jayate 2
Antim: The Final Truth
Chhorii
Tadap
Bob Biswas
Chandigarh Kare Aashiqui
Velle
Code Name Abdul
420 IPC
83
Atrangi Re
Waah Zindagi
Ghost Stories
Bhangra Paa Le
Sab Kushal Mangal
Shimla Mirchi
Chhapaak
Jai Mummy Di
Panga
Street Dancer 3D
Gul Makai
Jawaani Jaaneman
Operation Parindey
Hacked
Malang
Shikara
Shukranu
The Hundred Bucks
Yeh Ballet
Guns of Banaras
Thappad
Dheet Patangey
Baaghi 3
Guilty
Kaamyaab
Angrezi Medium
Maska
Bamfaad
Ateet
Mrs. Serial Killer
Ghoomketu
Chippa
Chintu Ka Birthday
Axone
Gulabo Sitabo
Kadakh
Bulbbul
Bhonsle
Unlock
Virgin Bhanupriya
Dil Bechara
Yaara
Shakuntala Devi
Lootcase
Raat Akeli Hai
Gunjan Saxena: The Kargil Girl
Khuda Haafiz
Captain Vidyut
Class of '83
Mee Raqsam
Sadak 2
Ram Singh Charlie
Atkan Chatkan
Cargo
London Confidential
Halahal
Khaali Peeli
Serious Men
Ginny Weds Sunny
Comedy Couple
Taish
Kaali Khuhi
Pepper Chicken
Laxmii
Ludo
Chhalaang
Sir
Suraj Pe Mangal Bhari
Anwar Ka Ajab Kissa
Darbaan
Indoo Ki Jawani
Nirvana Inn
Torbaaz
Eeb Allay Ooo!
Unpaused
AK vs AK
Coolie No. 1
Shakeela
Cabaret
Uri: The Surgical Strike
Battalion 609
The Accidental Prime Minister
Why Cheat India
SP Chauhan
Soni
72 Hours: Martyr Who Never Died
Bombairiya
Rangeela Raja
Thackeray
Manikarnika: The Queen of Jhansi
Ek Ladki Ko Dekha Toh Aisa Laga
The Fakir of Venice
Amavas
Gully Boy
Hum Chaar
Total Dhamaal
Luka Chuppi
Sonchiriya
The Sholay Girl
Hamid
Photograph
Milan Talkies
Mere Pyare Prime Minister
22 Yards
377 Ab Normal
Kesari
Notebook
Junglee
Romeo Akbar Walter
The Tashkent Files
Blackboard vs Whiteboard
Kalank
Blank
Setters
Yours Truly
Badnaam Gali
Student of the Year 2
Chhoriyan Chhoron Se Kam Nahi Hoti
